title, date, location, link, category, price
Haley Reinhart (Bush Hall| London),Thu| May 7| 19:30,Thu| 7 May 2020|19:30 – 23:00 BST|Add to Calendar|,https://www.eventbrite.co.uk/e/haley-reinhart-bush-hall-london-tickets-89991835001?aff=ebdssbdestsearch,music,From £21.84
Pure Bacchanal - SHUTDOWN!,Fri| May 22| 23:00,Fire Club Vauxhall|44 Parry Street|London|SW8 1RU|,https://www.eventbrite.co.uk/e/pure-bacchanal-shutdown-tickets-93377688179?aff=ebdssbdestsearch,music,From £9.21
The History of Drum & Bass with Live Orchestra - London,Fri| May 1| 19:00,Brixton Jamm|261 Brixton Road|London|SW9 6LH|,https://www.eventbrite.co.uk/e/the-history-of-drum-bass-with-live-orchestra-london-tickets-98371400507?aff=ebdssbdestsearch,music,£22.15
Massaoke 90s,Fri| Apr 10| 19:00,Electric Ballroom|184 Camden High Street|London|NW1 8QP|,https://www.eventbrite.com/e/massaoke-90s-tickets-86540732661?aff=ebdssbdestsearch,music,From £11.20
Kosheen Live Show (The Garage| London),Sat| May 30| 19:00,The Garage|20-22 Highbury Corner|London|N5 1RD|,https://www.eventbrite.co.uk/e/kosheen-live-show-the-garage-london-tickets-88507984765?aff=ebdssbdestsearch,music,£21.84
VIBE 2 VIBES: The Anniversary Show!,Mon| May 25| 19:30,Nambucca|596 Holloway Road|London|N7 6LB|,https://www.eventbrite.co.uk/e/vibe-2-vibes-the-anniversary-show-tickets-91134320205?aff=ebdssbdestsearch,music,From £9.75
Sublime Terror Fest 2020,Fri| Oct 16| 16:00,The Dome|2A Dartmouth Park Hill|London|NW5 1HL|,https://www.eventbrite.co.uk/e/sublime-terror-fest-2020-tickets-78401177031?aff=ebdssbdestsearch,music,From £41.02
10 Piece Brass Band Perform Arctic Monkeys - Whatever People Say I Am...,Thu| May 21| 19:00,XOYO|32-37 Cowper Street|London|EC2A 4AP|,https://www.eventbrite.co.uk/e/10-piece-brass-band-perform-arctic-monkeys-whatever-people-say-i-am-tickets-96627047099?aff=ebdssbdestsearch,music,£16.96
Bad Medicine - The Bon Jovi Club Night,Fri| May 8| 22:00,The Phoenix|37 Cavendish Square|London|W1G 0PP|,https://www.eventbrite.co.uk/e/bad-medicine-the-bon-jovi-club-night-tickets-90117342397?aff=ebdssbdestsearch,music,£5.98 - £8.68
AGS Easter Sunday Special @ BE AT ONE (City),Sun| Apr 12| 22:00,BE AT ONE|18 Wine Office Court|Shoe Lane|London|,https://www.eventbrite.co.uk/e/ags-easter-sunday-special-be-at-one-city-tickets-97217725835?aff=ebdssbdestsearch,music,From £11.37
Jazz At Morley - Jazz concert series at Morley College London,Fri| Apr 24| 19:30 + 3 more events,Morley College London|61 Westminster Bridge Road|London|SE1 7HT|,https://www.eventbrite.co.uk/e/jazz-at-morley-jazz-concert-series-at-morley-college-london-tickets-89747516237?aff=ebdssbdestsearch,music,£12 - £50
STEVE HOWE - ALL MY YESTERDAYS - in Conversation,Thu| Apr 16| 19:00,Walthamstow Trades Hall|61-63 Tower Hamlets Road|London|E17 4RQ|,https://www.eventbrite.com/e/steve-howe-all-my-yesterdays-in-conversation-tickets-97304595665?aff=ebdssbdestsearch,music,From £11.37
Lee Rocker (of The Stray Cats) + Support The Deadshots & Fat 'n' Furious,Sun| Nov 8| 19:00,Sun| 8 November 2020|19:00 – 23:00 GMT|Add to Calendar|,https://www.eventbrite.co.uk/e/lee-rocker-of-the-stray-cats-support-the-deadshots-fat-n-furious-tickets-77241359987?aff=ebdssbdestsearch,music,From £32.93
Kim Wilde - Greatest Hits Tour (Palladium| London),Fri| Sep 25| 19:00,London Palladium|8 Argyll Street|London|W1F 7LA|,https://www.eventbrite.co.uk/e/kim-wilde-greatest-hits-tour-palladium-london-tickets-80238368119?aff=ebdssbdestsearch,music,From £45.64
The History of Drum & Bass Performed Live by an Orchestra,Thu| May 14| 19:00,XOYO|32-37 Cowper Street|London|EC2A 4AP|,https://www.eventbrite.co.uk/e/the-history-of-drum-bass-performed-live-by-an-orchestra-tickets-97162043287?aff=ebdssbdestsearch,music,£16.96
The Forever @ The Grace,Thu| Apr 30| 19:00,The Grace|20-22 Highbury Corner|London|N5 1RA|,https://www.eventbrite.co.uk/e/the-forever-the-grace-tickets-96138915083?aff=ebdssbdestsearch,music,£11.37
London soul Train Cruise (spring special) soul boat,Sat| May 2| 19:15,London Soul train cruise|Festival pier|southbank|London|,https://www.eventbrite.co.uk/e/london-soul-train-cruise-spring-special-soul-boat-tickets-76780475469?aff=ebdssbdestsearch,music,£27.54
Mass Production Live,Mon| May 25| 19:00,Mon| 25 May 2020|19:00 – 23:00 BST|Add to Calendar|,https://www.eventbrite.co.uk/e/mass-production-live-tickets-95275524659?aff=ebdssbdestsearch,music,From £22.04
One Big Ride,Sun| Jul 5| 12:00,Circular Cruise Festival Pier|Festival Pier|Bishop’s|London|,https://www.eventbrite.co.uk/e/one-big-ride-tickets-98247610247?aff=ebdssbdestsearch,music,From £16.76
Evelyn Glennie and the World Doctors Orchestra,Mon| Oct 19| 19:00,Central Hall Westminster|Storey's Gate|London|SW1H 9NH|,https://www.eventbrite.co.uk/e/evelyn-glennie-and-the-world-doctors-orchestra-tickets-86421157007?aff=ebdssbdestsearch,"music,arts",From £27.54
Devon Sproule,Mon| Apr 13| 20:00,The Lexington|96-98 Pentonville Road|London|N1 9JB|,https://www.eventbrite.co.uk/e/devon-sproule-tickets-92921086471?aff=ebdssbdestsearch,music,£9 - £13
Ana Tijoux,Thu| Apr 30| 19:00,Thu| 30 April 2020|19:00 – 22:30 BST|Add to Calendar|,https://www.eventbrite.co.uk/e/ana-tijoux-tickets-91769307469?aff=ebdssbdestsearch,music,£21.93
Stewart Mac - Live in London,Sat| Apr 25| 19:30,Water Rats|328 Grays Inn Road|London|WC1X 8BZ|,https://www.eventbrite.com/e/stewart-mac-live-in-london-tickets-93311791079?aff=ebdssbdestsearch,music,From £16.76
Nonstop George Michael club night – presented by Back to Back Pop,Fri| Apr 17| 22:30,Colours Hoxton|2-4 Hoxton Square|London|N1 6NU|,https://www.eventbrite.co.uk/e/nonstop-george-michael-club-night-presented-by-back-to-back-pop-tickets-89556214047?aff=ebdssbdestsearch,music,£5.98 - £9.21
Impaled Nazarene // Necrosadistic Goat Torture plus support,Sat| May 23| 18:30,Nambucca|596 Holloway Road|London|N7 6LB|,https://www.eventbrite.co.uk/e/impaled-nazarene-necrosadistic-goat-torture-plus-support-tickets-86309222207?aff=ebdssbdestsearch,music,£22.15
Музыка Вечного Цветения,Fri| May 22| 19:00,St Mary's Church London|York Street|London|W1H 1PQ|,https://www.eventbrite.com/e/92697357291?aff=ebdssbdestsearch,music,From £38.32
Rosé Zinfandel New Years Eve Celebrations LGBTQ PARTY,Thu| Dec 31| 22:00,CMYK|105-109 The Broadway|Wimbledon|SW19 1QG|,https://www.eventbrite.co.uk/e/rose-zinfandel-new-years-eve-celebrations-lgbtq-party-tickets-86934727109?aff=ebdssbdestsearch,music,£5
A Night of D'Angelo,Mon| Jun 15| 19:00,Jazz Cafe|5 Parkway|London|NW1 7PG|,https://www.eventbrite.co.uk/e/a-night-of-dangelo-tickets-92172170443?aff=ebdssbdestsearch,music,From £13.90
Faded BoxPark Takeover - FREE ENTRY,Fri| Apr 24| 19:00,Boxpark Shoreditch|2-10 Bethnal Green Road|London|E1 6GY|,https://www.eventbrite.co.uk/e/faded-boxpark-takeover-free-entry-tickets-96608840643?aff=ebdssbdestsearch,music,Free
ReUniTed Easter Special,Sat| Apr 11| 21:30,The Refreshment Rooms| Stratford City|27 Broadway|Stratford City|London|,https://www.eventbrite.co.uk/e/reunited-easter-special-tickets-90525523277?aff=ebdssbdestsearch,music,£10
CULT OF FIRE / MALOKARPATAN at Boston Music Room| London,Sun| Apr 12| 19:00,Boston Music Room|178 Junction Road|London|N19 5QQ|,https://www.eventbrite.co.uk/e/cult-of-fire-malokarpatan-at-boston-music-room-london-tickets-84236502647?aff=ebdssbdestsearch,music,£19.99
Limitless - Open Bar ( Bank Holiday Weekend),Sat| May 23| 16:00,Pitch Stratford|2 Bridge Rd|London|E15 3FF|,https://www.eventbrite.co.uk/e/limitless-open-bar-bank-holiday-weekend-tickets-94007943289?aff=ebdssbdestsearch,music,£32.93
Choral Essentials 2020 (1-day course),Fri| May 15| 10:00,Copenhagen Primary School|Treaty St|London|N1 0WF|,https://www.eventbrite.co.uk/e/choral-essentials-2020-1-day-course-tickets-49599385096?aff=ebdssbdestsearch,music,£42.50 - £85
Genevieve Dawson Album Launch - Letters I Won't Send,Thu| Apr 30| 19:00,St Pancras Old Church|Pancras Road|London|NW1 1UL|,https://www.eventbrite.co.uk/e/genevieve-dawson-album-launch-letters-i-wont-send-tickets-87306019655?aff=ebdssbdestsearch,music,£11.37 - £15
Rare Groove  Legends  Boat Party,Sun| Apr 19| 19:00,Tower Millennium Pier|Lower Thames Street|London|EC3N 4DT|,https://www.eventbrite.co.uk/e/rare-groove-legends-boat-party-tickets-95267972069?aff=ebdssbdestsearch,music,From £32.93
Vocal House Brunch - McQueen,Sat| Apr 25| 14:00 + 3 more events,McQueen|55-61 Tabernacle Street|London|EC2A 4AA|,https://www.eventbrite.co.uk/e/vocal-house-brunch-mcqueen-tickets-92206888285?aff=ebdssbdestsearch,music,£11.37 - £42.64
Refresh @ The Curtain,Sat| Apr 25| 21:30 + 2 more events,The Curtain|45 Curtain Road|London|EC2A 3PT|,https://www.eventbrite.co.uk/e/refresh-the-curtain-tickets-63921844959?aff=ebdssbdestsearch,music,£11.68
Doomsday Cult Rave,Fri| Apr 17| 22:00,Basing House|25 Kingsland Road|London|E2 8AA|,https://www.eventbrite.co.uk/e/doomsday-cult-rave-tickets-96641727007?aff=ebdssbdestsearch,music,From £9.21
DNB Brunch - Shabba D| Ray Keith| Nicky Blackmarket| Uncle Dugs,Sat| May 9| 12:00,The steel yard|13-16 Allhallows Lane|London|EC4R 3UE|,https://www.eventbrite.co.uk/e/dnb-brunch-shabba-d-ray-keith-nicky-blackmarket-uncle-dugs-tickets-96080247607?aff=ebdssbdestsearch,music,From £11.37
The London Tango Quintet in Concert,Fri| May 1| 19:30,St Peter's Church Acton Green|Southfield Road|London|W4 1BB|,https://www.eventbrite.com/e/the-london-tango-quintet-in-concert-tickets-92558385623?aff=ebdssbdestsearch,music,From £16.76
Come & Dance Dance Dance,Fri| May 8| 19:00,Fellowship and Star|Randlesdown Road|London|SE6 3BT|,https://www.eventbrite.co.uk/e/come-dance-dance-dance-tickets-95612917811?aff=ebdssbdestsearch,music,From £7.06
The Blues Kitchen presents The James Hunter Six,Tue| May 19| 19:00,Tue| 19 May 2020|19:00 – 22:30 BST|Add to Calendar|,https://www.eventbrite.co.uk/e/the-blues-kitchen-presents-the-james-hunter-six-tickets-83590249687?aff=ebdssbdestsearch,music,£20
Daniel O'Donnell (Fairfield Halls| Croydon),Sat| Oct 17| 19:00,Fairfield Halls|Park Lane|London|CR9 1DG|,https://www.eventbrite.co.uk/e/daniel-odonnell-fairfield-halls-croydon-tickets-94852900579?aff=ebdssbdestsearch,music,From £47.32
YOUR GOSPEL NIGHT,Thu| Apr 9| 19:30,Ritzy Cinema and Cafe|Coldharbour Lane|London|SW2 1JG|,https://www.eventbrite.co.uk/e/your-gospel-night-tickets-86778840849?aff=ebdssbdestsearch,music,£10
Waterperry Opera Festival - Fundraising Dinner & Auction | 23rd April 2020,Thu| Apr 23| 18:30,The School of Philosophy and Economic Science|11-13 Mandeville Place|London|W1U 3AJ|,https://www.eventbrite.co.uk/e/waterperry-opera-festival-fundraising-dinner-auction-23rd-april-2020-tickets-95353092667?aff=ebdssbdestsearch,music,£70
CandyCamp Episode 1,Sat| Apr 25| 21:30,Junction House|578 Kingsland Road|London|E8 4AH|,https://www.eventbrite.co.uk/e/candycamp-episode-1-tickets-96865775141?aff=ebdssbdestsearch,music,From £8.68
Jason Donovan 'Even More Good Reasons' Tour (Eventim Apollo| London),Wed| Oct 14| 19:00,Eventim Apollo|45 Queen Caroline Street|London|W6 9QH|,https://www.eventbrite.co.uk/e/jason-donovan-even-more-good-reasons-tour-eventim-apollo-london-tickets-70164390581?aff=ebdssbdestsearch,music,From £36.68
Singing With Nightingales: LIVE,Tue| May 5| 20:00,Tue| 5 May 2020|20:00 – 23:30 BST|Add to Calendar|,https://www.eventbrite.co.uk/e/singing-with-nightingales-live-tickets-95585660283?aff=ebdssbdestsearch,"music,arts",£12 - £16
DESTRUCTION| SUICIDAL ANGELS| CRISIX at Venue 229| London,Wed| Apr 22| 19:00,229 The Venue|229 Great Portland Street|London|W1W 5PN|,https://www.eventbrite.co.uk/e/destruction-suicidal-angels-crisix-at-venue-229-london-tickets-91359369333?aff=ebdssbdestsearch,music,£24.84
Exclusive Dinner and Live Music at The Wellington Club Mayfair,Sat| May 2| 19:00,91 Jermyn St|91 Jermyn Street|London|SW1Y 6JB|,https://www.eventbrite.co.uk/e/exclusive-dinner-and-live-music-at-the-wellington-club-mayfair-tickets-92688741521?aff=ebdssbdestsearch,music,£50.71
Amy Winehouse Tribute Band,Sat| Jul 11| 19:30,TW7 6PN|Saint John's Road|Isleworth|TW7 6PN|,https://www.eventbrite.com/e/amy-winehouse-tribute-band-tickets-90243963123?aff=ebdssbdestsearch,music,£12
Come and Sing: Fauré Requiem,Sat| May 16| 13:00,St Martin’s Church| Gospel Oak|43 Vicar’s Road|London|NW5 4NN|,https://www.eventbrite.co.uk/e/come-and-sing-faure-requiem-tickets-92542459989?aff=ebdssbdestsearch,music,From £5.98
Shaskeen - 50th Anniversary Concert in London,Fri| Apr 24| 20:00,London Irish Centre|50-52 Camden Square|London|NW1 9XB|,https://www.eventbrite.co.uk/e/shaskeen-50th-anniversary-concert-in-london-tickets-85973080799?aff=ebdssbdestsearch,music,From £7.06
EUPHORIA ALL BLACK EDITION,Sun| Apr 12| 15:00,Shoreditch Platform|1 Kingsland Rd|London|E2 8AA|,https://www.eventbrite.com/e/euphoria-all-black-edition-tickets-93680622263?aff=ebdssbdestsearch,music,£11.37
Soca Injection - Easter Sunday,Sun| Apr 12| 17:00,Subterania|12 Acklam Road|London|W10 5QS|,https://www.eventbrite.co.uk/e/soca-injection-easter-sunday-tickets-93840540583?aff=ebdssbdestsearch,music,From £11.37
Back to Black: Celebrating Amy Winehouse,Fri| Apr 10| 21:00,The Blues Kitchen|111-113 Camden High Street|London|NW1 7JN|,https://www.eventbrite.co.uk/e/back-to-black-celebrating-amy-winehouse-tickets-93485532745?aff=ebdssbdestsearch,music,£4.52
KRISIUN/ GRUESOME / VITRIOL at Boston Music Room| London,Mon| Apr 13| 19:00,Boston Music Room|178 Junction Road|London|N19 5QQ|,https://www.eventbrite.co.uk/e/krisiun-gruesome-vitriol-at-boston-music-room-london-tickets-70148266353?aff=ebdssbdestsearch,music,£22.15
Kahareb #3 كهارب – Best of Arabic Electronic & Underground Music,Fri| Apr 10| 21:00,Electrowerkz|7 Torrens Street|#1st Floor|London|,https://www.eventbrite.co.uk/e/kahareb-3-best-of-arabic-electronic-underground-music-tickets-96421201409?aff=ebdssbdestsearch,music,From £11.37
Loose Ends x Keith & Co: DJ Autumn| Gallegos| Baby Rollen + More,Sat| Apr 25| 20:00,NT's Loft|1 Westgate Street|#207|London|,https://www.eventbrite.co.uk/e/loose-ends-x-keith-co-dj-autumn-gallegos-baby-rollen-more-tickets-97174077281?aff=ebdssbdestsearch,music,Free
Stewart Mac - Live in London (Matinee Show),Sun| Apr 26| 14:00,Hope & Anchor|207 Upper Street|Islington|London|,https://www.eventbrite.com/e/stewart-mac-live-in-london-matinee-show-tickets-93318948487?aff=ebdssbdestsearch,music,£16.76
Desi Live presents : 90’s & 00’s!,Sat| Apr 25| 18:00,BOXPARK Wembley|18 Olympic Way|Wembley|HA9 0JT|,https://www.eventbrite.co.uk/e/desi-live-presents-90s-00s-tickets-96072460315?aff=ebdssbdestsearch,music,From £14.06
Breakthrough Music Business Summit London,Sun| Nov 8| 19:00,TBA|London|,https://www.eventbrite.com/e/breakthrough-music-business-summit-london-tickets-27256532021?aff=ebdssbdestsearch,music,Free
ESU Reception and violin recital with Juliette Roos,Mon| May 4| 18:30,The English-Speaking Union|37 Charles Street|London|W1J 5ED|,https://www.eventbrite.co.uk/e/esu-reception-and-violin-recital-with-juliette-roos-tickets-84634071787?aff=ebdssbdestsearch,music,From £30.44
Transcend & Dark Matter - Bank Holiday Special,Sat| May 9| 22:00,Union Nightclub|66 Albert Embankment|London|SE1 7TW|,https://www.eventbrite.co.uk/e/transcend-dark-matter-bank-holiday-special-tickets-98618820547?aff=ebdssbdestsearch,music,From £11.32
The A&R Sessions With Leon Haynes,Wed| Apr 15| 19:00,The Gallery|Unit 5|Tileyard Road|London|,https://www.eventbrite.co.uk/e/the-ar-sessions-with-leon-haynes-tickets-95391567747?aff=ebdssbdestsearch,music,£5
Come.As.You.Are  #CAYA,Sat| Jun 20| 17:30,Glory House Church|2 Tabernacle Avenue|Plaistow|London|,https://www.eventbrite.com/e/comeasyouare-caya-tickets-90669008445?aff=ebdssbdestsearch,music,£11.37
Shakatak,Sat| Apr 18| 19:00,Sat| 18 April 2020|19:00 – 23:30 BST|Add to Calendar|,https://www.eventbrite.co.uk/e/shakatak-tickets-80043800161?aff=ebdssbdestsearch,music,£24.84
The Funk and Disco Orchestra (Scala| London),Fri| May 8| 19:00,Scala|275 Pentonville Road|London|N1 9NL|,https://www.eventbrite.co.uk/e/the-funk-and-disco-orchestra-scala-london-tickets-76224516581?aff=ebdssbdestsearch,music,From £11.20
London Boat Party with FREE After Party!,Sat| Jul 25| 20:00,Crown Pier|Victoria Embankment|London|EC4Y 0HJ|,https://www.eventbrite.co.uk/e/london-boat-party-with-free-after-party-tickets-75723243259?aff=ebdssbdestsearch,music,From £24.84
Study Day on Music Literacy,Sat| May 23| 09:30,Senate House|Malet Street|London|WC1E|,https://www.eventbrite.co.uk/e/study-day-on-music-literacy-tickets-89573010285?aff=ebdssbdestsearch,music,£25
LUNA PARTY  Bank Holiday Weekend,Thu| Apr 9| 22:00,The Curtain|45 Curtain Road|London|EC2A 3PT|,https://www.eventbrite.co.uk/e/luna-party-bank-holiday-weekend-tickets-96058859635?aff=ebdssbdestsearch,music,From £5.98
Sunday Acoustic Sessions,Sun| Apr 12| 19:00 + 1 more event,Apples & Pears Bar|26 Osborn Street|London|E1 6TD|,https://www.eventbrite.co.uk/e/sunday-acoustic-sessions-tickets-81228740349?aff=ebdssbdestsearch,music,Free
YS TEKDINNER HEADLINE SHOW,Tue| Apr 21| 19:00,Rye Wax|133 Rye Lane|London|SE15 4ST|,https://www.eventbrite.co.uk/e/ys-tekdinner-headline-show-tickets-95352555059?aff=ebdssbdestsearch,music,£8.14
Cafe de Paris guestlist - Saturday,Sat| Apr 18| 22:00,Café de Paris|3-4 Coventry Street|London|W1D 6BL|,https://www.eventbrite.co.uk/e/cafe-de-paris-guestlist-saturday-tickets-91775863077?aff=ebdssbdestsearch,music,Free
Ms. Nina / FLAWA Festival,Sat| May 16| 19:00,Oslo Hackney|1A Amhurst Road|London|E8 1LL|,https://www.eventbrite.co.uk/e/ms-nina-flawa-festival-tickets-95253161771?aff=ebdssbdestsearch,music,From £11.37
Club Classics Live Brunch - May Bank Holiday Friday,Fri| May 8| 12:00,Proud Embankment|8 Victoria Embankment|London|WC2R 2AB|,https://www.eventbrite.co.uk/e/club-classics-live-brunch-may-bank-holiday-friday-tickets-91143272983?aff=ebdssbdestsearch,music,From £11.37
Dean Friedman - In Concert [London],Sun| May 10| 20:00,The Pheasantry / Pizza Express|152/154 King's Road|London|SW3 4UT|,https://www.eventbrite.com/e/dean-friedman-in-concert-london-tickets-85535608307?aff=ebdssbdestsearch,music,From £39.40
Soul Exchange,Sat| Apr 25| 20:00,The Blues Kitchen Shoreditch|134 Curtain Road|London|EC2A 3AR|,https://www.eventbrite.co.uk/e/soul-exchange-tickets-95229775823?aff=ebdssbdestsearch,music,£7.94
The Highs - Back by popular demand 25th April,Sat| Apr 25| 19:00,TW7 6PN|Saint John's Road|Isleworth|TW7 6PN|,https://www.eventbrite.com/e/the-highs-back-by-popular-demand-25th-april-tickets-88030943923?aff=ebdssbdestsearch,music,£12
Russian Classical Music at London's Royal Fesitval Hall - Sunday 26th April,Sun| Apr 26| 15:00,Royal Festival Hall|Belvedere Road|London|SE1 8XX|,https://www.eventbrite.co.uk/e/russian-classical-music-at-londons-royal-fesitval-hall-sunday-26th-april-tickets-96436330661?aff=ebdssbdestsearch,music,£20 - £37
CLOSER I GET TO YOU,Sun| Apr 12| 22:30,Cyprus Gardens|THE FAIRWAYS|SOUTHEND ROAD|London|,https://www.eventbrite.co.uk/e/closer-i-get-to-you-tickets-93378649053?aff=ebdssbdestsearch,music,£16.76
Jazz harpist Jan Aldridge-Clark in concert,Thu| Jul 2| 18:30,Kensington Central Library|Lecture theatre - back of library|(Off from Campden Hill Road)|12 Phillimore Walk W8 7RX|,https://www.eventbrite.co.uk/e/jazz-harpist-jan-aldridge-clark-in-concert-tickets-90938496491?aff=ebdssbdestsearch,music,Free
Secret Garden Rave - London,Sat| Apr 11| 22:00,The Steel Yard Nightclub|Allhallows Lane|London|EC4R 3UE|,https://www.eventbrite.com/e/secret-garden-rave-london-tickets-87861874231?aff=ebdssbdestsearch,music,From £16.76
She'Koyokh & Jyotsna Srikanth at SOAS Concert Series,Fri| Apr 24| 19:00,Brunei Gallery Lecture Theatre|SOAS| University of London|10 Thornhaugh Street|London|,https://www.eventbrite.co.uk/e/shekoyokh-jyotsna-srikanth-at-soas-concert-series-tickets-96758379919?aff=ebdssbdestsearch,music,£4
Steve Smyth Blood Tour| London,Thu| Jun 18| 19:00,The Victoria Dalston|451 Queensbridge Road|London|E8 3AS|,https://www.eventbrite.co.uk/e/steve-smyth-blood-tour-london-tickets-97317129153?aff=ebdssbdestsearch,music,£10.19
The Smiths tribute band The Joneses - 13th June - Pelton Arms,Sat| Jun 13| 20:30,Pelton Arms|Pelton Road|Greenwich|London|,https://www.eventbrite.com/e/the-smiths-tribute-band-the-joneses-13th-june-pelton-arms-tickets-89400149253?aff=ebdssbdestsearch,music,Free
The SheJay Presents... Dopamine,Thu| Jun 11| 19:00,BOXPARK Shoreditch|2-10 Bethnal Green Road|London|E1 6GY|,https://www.eventbrite.co.uk/e/the-shejay-presents-dopamine-tickets-96549687715?aff=ebdssbdestsearch,music,Free
1914 plus special guests at The Black Heart| London,Tue| May 19| 19:00,The Black Heart|3 Greenland Place|London|NW1 0AP|,https://www.eventbrite.co.uk/e/1914-plus-special-guests-at-the-black-heart-london-tickets-95747073073?aff=ebdssbdestsearch,music,£13.52
Dj Yoda: Funk & Soul Set,Sun| Apr 12| 20:00,The Blues Kitchen Shoreditch • London,https://www.eventbrite.co.uk/e/dj-yoda-funk-soul-set-tickets-94143183797?aff=ebdssbdestsearch,music,Check event for more detail
Lido Pimienta / Music / FLAWA 2020,Thu| May 14| 20:00,Space 289|289 Cambridge Heath Road|London|E2 9HA|,https://www.eventbrite.co.uk/e/lido-pimienta-music-flawa-2020-tickets-97747931695?aff=ebdssbdestsearch,music,From £9.21
Lost in the Manor: Izzy and the Black Trees + DELIGHTS + More TBA,Sat| May 2| 19:30,The Finsbury|336 Green Lanes|London|N4 1BY|,https://www.eventbrite.co.uk/e/lost-in-the-manor-izzy-and-the-black-trees-delights-more-tba-tickets-94683024475?aff=ebdssbdestsearch,music,Free
Concert by The Band of the Royal Yeomanry,Thu| Apr 30| 19:30,The Guards' Chapel|Wellngton Barracks|London|SW1E 6HQ|,https://www.eventbrite.co.uk/e/concert-by-the-band-of-the-royal-yeomanry-tickets-90454218001?aff=ebdssbdestsearch,music,Free
A Night of R&B,Mon| May 18| 19:00,Jazz Cafe|5 Parkway|London|NW1 7PG|,https://www.eventbrite.co.uk/e/a-night-of-rb-tickets-92000904181?aff=ebdssbdestsearch,music,From £13.90
Prog The Forest 2020 - Prog rock charity festival raising funds for the Wor...,Sat| Jul 4| 13:00,The Fiddler's Elbow|1 Malden Rd|London|NW5 3HS|,https://www.eventbrite.co.uk/e/prog-the-forest-2020-prog-rock-charity-festival-raising-funds-for-the-world-land-trust-tickets-68031047695?aff=ebdssbdestsearch,music,£16.76
Glitterfest Summer Party,Sat| May 2| 16:30,PITCH Stratford|2 Bridge Road|London|E15 3FF|,https://www.eventbrite.com/e/glitterfest-summer-party-tickets-97175004053?aff=ebdssbdestsearch,music,£11.20 - £168
Formulate - The Golden Age Of House,Fri| Apr 10| 23:00,Egg London|200 York Way| London N7 9AX|London|N7 9AX|,https://www.eventbrite.co.uk/e/formulate-the-golden-age-of-house-tickets-96637620725?aff=ebdssbdestsearch,music,From £9.21
Guns 'N' Roses Pre-Gig Party boat Hospitality Tottenham London,Sat| May 30| 15:00,Stratford Olympic Park to Tottenham Pontoon|Tottenham|London|E20 2ZQ|,https://www.eventbrite.co.uk/e/guns-n-roses-pre-gig-party-boat-hospitality-tottenham-london-tickets-87686541807?aff=ebdssbdestsearch,music,£128.88 - £269.02
Alix Perez — All Night Long,Sat| May 2| 22:00,Studio 9294|92 Wallis Rd| Hackney Wick| London|London|E9 5LN|,https://www.eventbrite.co.uk/e/alix-perez-all-night-long-tickets-92909098615?aff=ebdssbdestsearch,music,From £16.76
From Believe to Brighton 2020,Wed| May 13| 07:00,Clapham Common|Windmill Drive|London|SW4 9DE|,https://www.eventbrite.co.uk/e/from-believe-to-brighton-2020-tickets-93958471317?aff=ebdssbdestsearch,music,£32.54
The Royal Ypriana Wind Band in Concert,Fri| Apr 17| 19:30,The Guards Chapel|Wellington Barracks|Birdcage Walk|London|,https://www.eventbrite.co.uk/e/the-royal-ypriana-wind-band-in-concert-tickets-95559534139?aff=ebdssbdestsearch,music,Free
Mestizo: featuring Theon Cross| Steam Down| León Pardo & more,Fri| May 1| 21:00,Electric Brixton|Town Hall Parade|London|SW2 1RJ|,https://www.eventbrite.co.uk/e/mestizo-featuring-theon-cross-steam-down-leon-pardo-more-tickets-91639631605?aff=ebdssbdestsearch,music,£18.64
London’s Original David Bowie Musical Walking Tour,Sun| Apr 12| 14:00 + 5 more events,Brixton Tube Station|Brixton Road|London|SW9 8HE|,https://www.eventbrite.co.uk/e/londons-original-david-bowie-musical-walking-tour-tickets-30220332829?aff=ebdssbdestsearch,music,£21.83
Fridays at EGG: Nervo and Guests,Fri| May 22| 23:00,Fri| 22 May 2020| 23:00 -|Sat| 23 May 2020| 06:00 BST|Doors at 05:00|Add to Calendar|,https://www.eventbrite.co.uk/e/fridays-at-egg-nervo-and-guests-tickets-97982559473?aff=ebdssbdestsearch,music,From £14.41
Maykel Blanco y Su Salsa Mayor,Sun| May 24| 21:00,Sun| 24 May 2020| 21:00 –|Mon| 25 May 2020| 03:00 BST|Add to Calendar|,https://www.eventbrite.co.uk/e/maykel-blanco-y-su-salsa-mayor-tickets-96945836607?aff=ebdssbdestsearch,music,£27.85
The Producer Assembly UK (formerly The Producer Huddle UK),Sun| Jun 28| 14:30,Tileyard Studios (The Gallery)|Tileyard Road|London|N7 9AH|,https://www.eventbrite.co.uk/e/the-producer-assembly-uk-formerly-the-producer-huddle-uk-tickets-98731317027?aff=ebdssbdestsearch,music,From £11.37
Eblana String Trio Album Launch,Fri| May 1| 18:30,The Foundling Museum|40 Brunswick Square|London|WC1N 1AZ|,https://www.eventbrite.co.uk/e/eblana-string-trio-album-launch-tickets-93945223693?aff=ebdssbdestsearch,music,£37.87
Bandsec @ The 100 Club,Thu| Jun 4| 19:00,100 Club|100 Oxford Street|London|W1D 1LL|,https://www.eventbrite.com/e/bandsec-the-100-club-tickets-82231569839?aff=ebdssbdestsearch,music,£10
